unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1624991040000,2021-06-29T18:24:00Z,BNB/USDT,305.5,305.78,305.15,305.69,1446.4546,441818.132134,617
1624990980000,2021-06-29T18:23:00Z,BNB/USDT,305.86,305.87,305.45,305.51,404.9915,123797.931897,285
1624990920000,2021-06-29T18:22:00Z,BNB/USDT,305.4,305.92,305.27,305.86,999.9205,305539.518034,466
1624990860000,2021-06-29T18:21:00Z,BNB/USDT,305.87,306.23,305.27,305.29,3682.9309,1125638.551634,1131
1624990800000,2021-06-29T18:20:00Z,BNB/USDT,306.64,306.88,305.82,305.87,5008.7999,1533361.788725,1136
1624990740000,2021-06-29T18:19:00Z,BNB/USDT,306.7,306.8,306.41,306.63,506.0299,155138.582876,286
1624990680000,2021-06-29T18:18:00Z,BNB/USDT,306.7,306.8,306.43,306.69,552.2617,169325.947331,312
1624990620000,2021-06-29T18:17:00Z,BNB/USDT,306.98,306.99,306.3,306.68,759.4945,232774.177155,487
1624990560000,2021-06-29T18:16:00Z,BNB/USDT,306.7,307.49,306.58,306.99,1294.1746,397374.289057,510
1624990500000,2021-06-29T18:15:00Z,BNB/USDT,307.34,307.44,306.6,306.67,995.4137,305484.340106,596
1624990440000,2021-06-29T18:14:00Z,BNB/USDT,307.47,307.57,307.31,307.35,542.608,166823.685867,273
1624990380000,2021-06-29T18:13:00Z,BNB/USDT,307.44,307.59,307.33,307.47,334.2833,102763.002122,274
1624990320000,2021-06-29T18:12:00Z,BNB/USDT,307.2,307.68,307.19,307.39,491.7378,151194.441727,273
1624990260000,2021-06-29T18:11:00Z,BNB/USDT,307.09,307.71,307.09,307.2,804.7722,247425.970693,380
1624990200000,2021-06-29T18:10:00Z,BNB/USDT,306.98,307.32,306.88,307.11,374.9171,115151.713935,240
1624990140000,2021-06-29T18:09:00Z,BNB/USDT,306.8,307.1,306.64,306.95,665.3018,204181.293179,325
1624990080000,2021-06-29T18:08:00Z,BNB/USDT,307.19,307.19,306.68,306.81,1843.1171,565681.254376,669
1624990020000,2021-06-29T18:07:00Z,BNB/USDT,307.07,307.94,306.93,307.18,1614.5187,496178.541727,635
1624989960000,2021-06-29T18:06:00Z,BNB/USDT,307.59,307.59,306.96,307.07,1166.118,358216.308852,536
1624989900000,2021-06-29T18:05:00Z,BNB/USDT,307.61,308.18,307.59,307.59,586.7303,180676.284331,318
1624989840000,2021-06-29T18:04:00Z,BNB/USDT,307.5,307.77,307.31,307.65,684.0406,210371.516816,331
1624989780000,2021-06-29T18:03:00Z,BNB/USDT,307.64,307.95,307.4,307.51,694.7688,213673.51618,368
