unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1624993740000,2021-06-29T19:09:00Z,BTC/USDT,36368.81,36388,36320,36320.01,53.6566,1951490.97889823,1063
1624993680000,2021-06-29T19:08:00Z,BTC/USDT,36350,36380.16,36341.15,36368.82,60.567006,2202638.57529227,968
1624993620000,2021-06-29T19:07:00Z,BTC/USDT,36341.06,36362.56,36341.02,36350.01,40.730162,1480684.16931061,969
1624993560000,2021-06-29T19:06:00Z,BTC/USDT,36339.99,36347.1,36316.28,36341.06,24.792081,900801.82559163,713
1624993500000,2021-06-29T19:05:00Z,BTC/USDT,36314.58,36340,36314.58,36339.99,46.787093,1699653.93184975,904
1624993440000,2021-06-29T19:04:00Z,BTC/USDT,36299.99,36320,36292.02,36312.87,38.016448,1380321.04336662,803
1624993380000,2021-06-29T19:03:00Z,BTC/USDT,36256.35,36300,36252.86,36299.99,16.892651999999998,612859.14510618,675
1624993320000,2021-06-29T19:02:00Z,BTC/USDT,36261.66,36264.72,36247.2,36256.32,15.510314,562349.22801058,546
1624993260000,2021-06-29T19:01:00Z,BTC/USDT,36279.7,36279.7,36250.87,36261.67,24.008799,870631.77770177,676
1624993200000,2021-06-29T19:00:00Z,BTC/USDT,36280.85,36282.71,36262.53,36279.69,17.642315,639907.89270992,586
1624993140000,2021-06-29T18:59:00Z,BTC/USDT,36265.34,36288.89,36252.84,36280.85,24.383557,884476.83949332,748
1624993080000,2021-06-29T18:58:00Z,BTC/USDT,36258.72,36265.49,36247,36259.52,19.699277,714198.37773838,709
1624993020000,2021-06-29T18:57:00Z,BTC/USDT,36287.1,36287.4,36245.2,36258.72,40.566863,1471375.70699801,1048
1624992960000,2021-06-29T18:56:00Z,BTC/USDT,36301.7,36309.98,36280,36287.1,10.44724,379166.66433544,681
1624992900000,2021-06-29T18:55:00Z,BTC/USDT,36302.21,36306.67,36271.99,36301.69,18.577836,674201.99385172,827
1624992840000,2021-06-29T18:54:00Z,BTC/USDT,36313.54,36321.19,36301.86,36303.48,9.443493,342889.24542445,621
1624992780000,2021-06-29T18:53:00Z,BTC/USDT,36308.97,36344.67,36301.22,36316.72,20.867288,758000.84963918,961
1624992720000,2021-06-29T18:52:00Z,BTC/USDT,36285.39,36320,36270.03,36305.31,23.089306,838134.19466811,718
1624992660000,2021-06-29T18:51:00Z,BTC/USDT,36334.61,36334.61,36274.32,36285.4,38.779512,1407594.33288005,1228
1624992600000,2021-06-29T18:50:00Z,BTC/USDT,36289.99,36348.05,36289.99,36334.62,31.028536,1127176.64435904,1164
1624992540000,2021-06-29T18:49:00Z,BTC/USDT,36166.49,36300,36160.38,36289.99,85.400001,3093991.54652595,1731
1624992480000,2021-06-29T18:48:00Z,BTC/USDT,36193.01,36199.53,36160.99,36166.49,23.701556,857456.46325617,896
1624992420000,2021-06-29T18:47:00Z,BTC/USDT,36216.58,36227.26,36175.54,36193.53,20.390528,738355.89805776,1348
1624992360000,2021-06-29T18:46:00Z,BTC/USDT,36262.51,36262.51,36211.82,36213.04,20.440144,740733.69143012,700
1624992300000,2021-06-29T18:45:00Z,BTC/USDT,36232.45,36273.36,36229.21,36262.5,18.41133,667461.43881081,842
1624992240000,2021-06-29T18:44:00Z,BTC/USDT,36281.65,36281.66,36223.42,36232.45,20.125954,729551.18809788,1001
1624992180000,2021-06-29T18:43:00Z,BTC/USDT,36293.18,36293.19,36270,36281.65,16.747467,607612.41423364,931
1624992120000,2021-06-29T18:42:00Z,BTC/USDT,36304.24,36337.34,36285.05,36293.18,30.617506,1111939.22533905,809
1624992060000,2021-06-29T18:41:00Z,BTC/USDT,36287.76,36322,36275.77,36304.23,37.626815,1365950.83821221,1372
1624992000000,2021-06-29T18:40:00Z,BTC/USDT,36269.11,36298,36230,36287.76,53.254512,1931646.71284519,1160
1624991940000,2021-06-29T18:39:00Z,BTC/USDT,36230,36271.66,36211.82,36269.11,31.903185,1155936.87558281,1483
1624991880000,2021-06-29T18:38:00Z,BTC/USDT,36161.28,36230,36153.83,36229.99,47.693405,1726055.39967353,1371
1624991820000,2021-06-29T18:37:00Z,BTC/USDT,36174.36,36191.47,36154.39,36161.28,27.91396,1009731.08235463,1032
1624991760000,2021-06-29T18:36:00Z,BTC/USDT,36186.27,36186.27,36160.68,36174.35,30.418986,1100305.8658147,892
1624991700000,2021-06-29T18:35:00Z,BTC/USDT,36160.67,36188.46,36142.22,36179.23,25.759834,931561.19000957,1511
1624991640000,2021-06-29T18:34:00Z,BTC/USDT,36206.42,36221.41,36149.1,36160.67,34.746847,1257729.99281656,1188
1624991580000,2021-06-29T18:33:00Z,BTC/USDT,36160.39,36214.76,36142.9,36204.55,56.529201,2044815.46124371,1386
1624991520000,2021-06-29T18:32:00Z,BTC/USDT,36157.7,36168.85,36150.35,36160.39,31.810853,1150242.95585777,1110
1624991460000,2021-06-29T18:31:00Z,BTC/USDT,36211.43,36212.82,36151.52,36157.7,25.828663,934695.71791645,1186
1624991400000,2021-06-29T18:30:00Z,BTC/USDT,36186.12,36222.2,36185.14,36211.43,31.879447,1154150.22827059,1093
1624991340000,2021-06-29T18:29:00Z,BTC/USDT,36163.26,36219.99,36148.05,36187.84,53.159979,1923492.65769004,1756
1624991280000,2021-06-29T18:28:00Z,BTC/USDT,36128.58,36165.06,36125.8,36163.27,57.382753,2074264.9635094,1230
1624991220000,2021-06-29T18:27:00Z,BTC/USDT,36147.51,36155,36116.77,36128.58,75.423509,2725288.09582443,1606
1624991160000,2021-06-29T18:26:00Z,BTC/USDT,36165.06,36165.07,36127.85,36147.5,47.650769,1722382.73013064,1494
1624991100000,2021-06-29T18:25:00Z,BTC/USDT,36177.04,36184.66,36152.09,36165.07,45.840126,1657593.16301214,1186
1624991040000,2021-06-29T18:24:00Z,BTC/USDT,36169.19,36184.66,36150,36177.04,52.656241,1904196.13459866,1537
1624990980000,2021-06-29T18:23:00Z,BTC/USDT,36192.93,36196.09,36165.01,36169.09,38.111507,1378779.20767984,1470
1624990920000,2021-06-29T18:22:00Z,BTC/USDT,36183.53,36204.79,36175.25,36192.94,36.23275,1311110.68440784,1026
1624990860000,2021-06-29T18:21:00Z,BTC/USDT,36200.55,36228.2,36180,36183.54,72.089859,2609804.58300798,1401
