unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1624990980000,2021-06-29T18:23:00Z,DOT/USDT,16.651,16.668,16.629,16.63,4300.577,71599.04641,232
1624990920000,2021-06-29T18:22:00Z,DOT/USDT,16.653,16.659,16.64,16.646,4925.043,81997.145692,213
1624990860000,2021-06-29T18:21:00Z,DOT/USDT,16.683,16.691,16.651,16.655,10427.944,173859.035948,366
1624990800000,2021-06-29T18:20:00Z,DOT/USDT,16.717,16.719,16.681,16.687,4653.683,77699.111513,171
1624990740000,2021-06-29T18:19:00Z,DOT/USDT,16.729,16.731,16.701,16.713,1222.242,20427.699885000002,81
1624990680000,2021-06-29T18:18:00Z,DOT/USDT,16.704,16.727,16.691,16.726,5312.987,88756.355681,147
1624990620000,2021-06-29T18:17:00Z,DOT/USDT,16.743,16.746,16.68,16.706,15192.2,253665.58379,405
1624990560000,2021-06-29T18:16:00Z,DOT/USDT,16.76,16.767,16.728,16.743,38375.161,642476.849022,327
1624990500000,2021-06-29T18:15:00Z,DOT/USDT,16.805,16.805,16.741,16.759,8308.671,139312.535337,177
1624990440000,2021-06-29T18:14:00Z,DOT/USDT,16.807,16.824,16.8,16.809,4463.606,75037.311215,153
1624990380000,2021-06-29T18:13:00Z,DOT/USDT,16.775,16.809,16.771,16.809,2874.518,48251.754119,127
1624990320000,2021-06-29T18:12:00Z,DOT/USDT,16.756,16.787,16.754,16.775,3577.419,59971.917797,121
1624990260000,2021-06-29T18:11:00Z,DOT/USDT,16.753,16.782,16.742,16.756,5199.313,87145.211217,174
1624990200000,2021-06-29T18:10:00Z,DOT/USDT,16.728,16.757,16.728,16.751,3961.803,66345.906664,132
1624990140000,2021-06-29T18:09:00Z,DOT/USDT,16.721,16.738,16.712,16.727,3217.993,53817.393412,137
1624990080000,2021-06-29T18:08:00Z,DOT/USDT,16.728,16.728,16.709,16.721,8222.443,137459.249852,284
1624990020000,2021-06-29T18:07:00Z,DOT/USDT,16.734,16.786,16.721,16.73,17828.468,298587.761579,400
1624989960000,2021-06-29T18:06:00Z,DOT/USDT,16.749,16.749,16.726,16.736,6927.976,115935.33924,256
1624989900000,2021-06-29T18:05:00Z,DOT/USDT,16.76,16.804,16.746,16.747,5557.272,93232.850419,172
1624989840000,2021-06-29T18:04:00Z,DOT/USDT,16.757,16.772,16.75,16.764,3202.665,53678.014505,136
1624989780000,2021-06-29T18:03:00Z,DOT/USDT,16.775,16.78,16.734,16.758,15287.281,256108.725446,413
